date, FAO_util, CAO_util, FTC_util, CTF_util, STC_util, pct_FAO_util, pct_CAO_util, pct_FTC_util, pct_CTF_util, pct_STC_util, util_count, FAO_util_vuln, CAO_util_vuln, FTC_util_vuln, CTF_util_vuln, STC_util_vuln, pct_FAO_util_vuln, pct_CAO_util_vuln, pct_FTC_util_vuln, pct_CTF_util_vuln, pct_STC_util_vuln, util_vuln_count, FAO_util_non_vuln, CAO_util_non_vuln, FTC_util_non_vuln, CTF_util_non_vuln, STC_util_non_vuln, pct_FAO_util_non_vuln, pct_CAO_util_non_vuln, pct_FTC_util_non_vuln, pct_CTF_util_non_vuln, pct_STC_util_non_vuln, util_count_non_vuln, FAO_non_util, CAO_non_util, FTC_non_util, CTF_non_util, STC_non_util, pct_FAO_non_util, pct_CAO_non_util, pct_FTC_non_util, pct_CTF_non_util, pct_STC_non_util, non_util_count, FAO_non_util_vuln, CAO_non_util_vuln, FTC_non_util_vuln, CTF_non_util_vuln, STC_non_util_vuln, pct_FAO_non_util_vuln, pct_CAO_non_util_vuln, pct_FTC_non_util_vuln, pct_CTF_non_util_vuln, pct_STC_non_util_vuln, _non_util_vuln_count, FAO_non_util_non_vuln, CAO_non_util_non_vuln, FTC_non_util_non_vuln, CTF_non_util_non_vuln, STC_non_util_non_vuln, pct_FAO_non_util_non_vuln, pct_CAO_non_util_non_vuln, pct_FTC_non_util_non_vuln, pct_CTF_non_util_non_vuln, pct_STC_non_util_non_vuln, _non_util_non_vuln_count
2000-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-20,15,0,2,1,72,0.16666666666666666,0.0,0.022222222222222223,0.011111111111111112,0.8,90,0,0,0,0,0,0,0,0,0,0,0,15,0,2,1,72,0.16666666666666666,0.0,0.022222222222222223,0.011111111111111112,0.8,90,37,0,8,12,549,0.06105610561056106,0.0,0.013201320132013201,0.019801980198019802,0.905940594059406,606,0,0,0,0,0,0,0,0,0,0,0,37,0,8,12,549,0.024752475247524754,0.0,0.0033003300330033004,0.0016501650165016502,0.1188118811881188,606
2001-09-19,15,0,2,2,84,0.14563106796116504,0.0,0.019417475728155338,0.019417475728155338,0.8155339805825242,103,0,0,0,0,0,0,0,0,0,0,0,15,0,2,2,84,0.14563106796116504,0.0,0.019417475728155338,0.019417475728155338,0.8155339805825242,103,45,3,16,12,567,0.06998444790046657,0.004665629860031105,0.024883359253499222,0.01866251944012442,0.8818040435458787,643,0,0,0,0,0,0,0,0,0,0,0,45,3,16,12,567,0.02332814930015552,0.0,0.003110419906687403,0.003110419906687403,0.13063763608087092,643
2001-10-19,15,0,2,2,84,0.14563106796116504,0.0,0.019417475728155338,0.019417475728155338,0.8155339805825242,103,0,0,0,0,0,0,0,0,0,0,0,15,0,2,2,84,0.14563106796116504,0.0,0.019417475728155338,0.019417475728155338,0.8155339805825242,103,73,10,42,16,613,0.09681697612732096,0.013262599469496022,0.05570291777188329,0.021220159151193633,0.8129973474801061,754,0,0,0,0,0,0,0,0,0,0,0,73,10,42,16,613,0.01989389920424403,0.0,0.002652519893899204,0.002652519893899204,0.11140583554376658,754
2001-11-19,25,0,2,2,84,0.22123893805309736,0.0,0.017699115044247787,0.017699115044247787,0.7433628318584071,113,0,0,0,0,0,0,0,0,0,0,0,25,0,2,2,84,0.22123893805309736,0.0,0.017699115044247787,0.017699115044247787,0.7433628318584071,113,122,14,74,17,657,0.13800904977375567,0.01583710407239819,0.083710407239819,0.019230769230769232,0.7432126696832579,884,0,0,0,0,0,0,0,0,0,0,0,122,14,74,17,657,0.02828054298642534,0.0,0.0022624434389140274,0.0022624434389140274,0.09502262443438914,884
2001-12-20,26,0,2,2,85,0.22608695652173913,0.0,0.017391304347826087,0.017391304347826087,0.7391304347826086,115,0,0,0,0,0,0,0,0,0,0,0,26,0,2,2,85,0.22608695652173913,0.0,0.017391304347826087,0.017391304347826087,0.7391304347826086,115,90,13,46,18,613,0.11538461538461539,0.016666666666666666,0.05897435897435897,0.023076923076923078,0.7858974358974359,780,0,0,0,0,0,0,0,0,0,0,0,90,13,46,18,613,0.03333333333333333,0.0,0.002564102564102564,0.002564102564102564,0.10897435897435898,780
2002-01-19,29,1,2,2,87,0.2396694214876033,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.71900826446281,121,0,0,0,0,0,0,0,0,0,0,0,29,1,2,2,87,0.2396694214876033,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.71900826446281,121,133,16,46,18,623,0.1590909090909091,0.019138755980861243,0.05502392344497608,0.0215311004784689,0.7452153110047847,836,0,0,0,0,0,0,0,0,0,0,0,133,16,46,18,623,0.034688995215311005,0.0011961722488038277,0.0023923444976076554,0.0023923444976076554,0.10406698564593302,836
2002-02-18,53,6,2,2,95,0.33544303797468356,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.6012658227848101,158,0,0,0,0,0,0,0,0,0,0,0,53,6,2,2,95,0.33544303797468356,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.6012658227848101,158,182,19,65,21,645,0.19527896995708155,0.0203862660944206,0.06974248927038626,0.022532188841201718,0.6920600858369099,932,0,0,0,0,0,0,0,0,0,0,0,182,19,65,21,645,0.05686695278969957,0.006437768240343348,0.002145922746781116,0.002145922746781116,0.10193133047210301,932
2002-03-20,58,7,2,2,104,0.3352601156069364,0.04046242774566474,0.011560693641618497,0.011560693641618497,0.6011560693641619,173,0,0,0,0,0,0,0,0,0,0,0,58,7,2,2,104,0.3352601156069364,0.04046242774566474,0.011560693641618497,0.011560693641618497,0.6011560693641619,173,220,31,76,21,671,0.21589793915603533,0.03042198233562316,0.0745829244357213,0.020608439646712464,0.6584887144259077,1019,0,0,0,0,0,0,0,0,0,0,0,220,31,76,21,671,0.05691854759568204,0.0068694798822374874,0.001962708537782139,0.001962708537782139,0.10206084396467124,1019
