date, FAO_util, CAO_util, FTC_util, CTF_util, STC_util, pct_FAO_util, pct_CAO_util, pct_FTC_util, pct_CTF_util, pct_STC_util, util_count, FAO_util_vuln, CAO_util_vuln, FTC_util_vuln, CTF_util_vuln, STC_util_vuln, pct_FAO_util_vuln, pct_CAO_util_vuln, pct_FTC_util_vuln, pct_CTF_util_vuln, pct_STC_util_vuln, util_vuln_count, FAO_util_non_vuln, CAO_util_non_vuln, FTC_util_non_vuln, CTF_util_non_vuln, STC_util_non_vuln, pct_FAO_util_non_vuln, pct_CAO_util_non_vuln, pct_FTC_util_non_vuln, pct_CTF_util_non_vuln, pct_STC_util_non_vuln, util_count_non_vuln, FAO_non_util, CAO_non_util, FTC_non_util, CTF_non_util, STC_non_util, pct_FAO_non_util, pct_CAO_non_util, pct_FTC_non_util, pct_CTF_non_util, pct_STC_non_util, non_util_count, FAO_non_util_vuln, CAO_non_util_vuln, FTC_non_util_vuln, CTF_non_util_vuln, STC_non_util_vuln, pct_FAO_non_util_vuln, pct_CAO_non_util_vuln, pct_FTC_non_util_vuln, pct_CTF_non_util_vuln, pct_STC_non_util_vuln, _non_util_vuln_count, FAO_non_util_non_vuln, CAO_non_util_non_vuln, FTC_non_util_non_vuln, CTF_non_util_non_vuln, STC_non_util_non_vuln, pct_FAO_non_util_non_vuln, pct_CAO_non_util_non_vuln, pct_FTC_non_util_non_vuln, pct_CTF_non_util_non_vuln, pct_STC_non_util_non_vuln, _non_util_non_vuln_count
2006-03-27,17,0,0,0,1465,0.011470985155195682,0.0,0.0,0.0,0.9885290148448043,1482,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1465,0.011470985155195682,0.0,0.0,0.0,0.9885290148448043,1482,228,0,0,0,8287,0.026776277157956548,0.0,0.0,0.0,0.9732237228420435,8515,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,8287,0.001996476805637111,0.0,0.0,0.0,0.17204932472108045,8515
2006-04-26,24,1,3,223,1543,0.013377926421404682,0.0005574136008918618,0.0016722408026755853,0.12430323299888517,0.8600891861761427,1794,0,0,0,0,0,0,0,0,0,0,0,24,1,3,223,1543,0.013377926421404682,0.0005574136008918618,0.0016722408026755853,0.12430323299888517,0.8600891861761427,1794,229,0,16,87,8245,0.0266993121137927,0.0,0.0018654541214876996,0.010143406785589367,0.9612918269791302,8577,0,0,0,0,0,0,0,0,0,0,0,229,0,16,87,8245,0.0027981811822315496,0.00011659088259298122,0.0003497726477789437,0.025999766818234814,0.17989973184097002,8577
2006-05-26,33,42,5,257,1549,0.017497348886532343,0.022269353128313893,0.002651113467656416,0.13626723223753975,0.8213149522799575,1886,0,0,0,0,0,0,0,0,0,0,0,33,42,5,257,1549,0.017497348886532343,0.022269353128313893,0.002651113467656416,0.13626723223753975,0.8213149522799575,1886,236,44,19,160,8233,0.027151403589507593,0.0050621260929590425,0.0021859180855959503,0.01840773124712379,0.9471928209848136,8692,0,0,0,0,0,0,0,0,0,0,0,236,44,19,160,8233,0.003796594569719282,0.0048320294523699955,0.0005752416014726184,0.02956741831569259,0.1782098481362172,8692
2006-06-26,64,741,5,322,1649,0.023013304566702624,0.2664509169363538,0.0017979144192736426,0.11578568860122258,0.5929521754764473,2781,0,0,0,0,0,0,0,0,0,0,0,64,741,5,322,1649,0.023013304566702624,0.2664509169363538,0.0017979144192736426,0.11578568860122258,0.5929521754764473,2781,258,1908,20,304,8583,0.02329991872121376,0.17231102682199945,0.0018061952497064934,0.0274541677955387,0.7751286914115416,11073,0,0,0,0,0,0,0,0,0,0,0,258,1908,20,304,8583,0.005779824799060779,0.06691953400162558,0.00045154881242662334,0.02907974352027454,0.14892079833830038,11073
2006-07-27,45,938,19,593,3086,0.009613330484939116,0.20038453321939756,0.004058961760307627,0.12668233283486435,0.6592608417004914,4681,0,0,0,0,0,0,0,0,0,0,0,45,938,19,593,3086,0.009613330484939116,0.20038453321939756,0.004058961760307627,0.12668233283486435,0.6592608417004914,4681,60,2527,216,1601,16035,0.0029355643622486424,0.12363618572337198,0.010568031704095112,0.0783306423993346,0.7845295758109496,20439,0,0,0,0,0,0,0,0,0,0,0,60,2527,216,1601,16035,0.002201673271686482,0.04589265619648711,0.0009295953813787367,0.029013161113557416,0.1509858603649885,20439
2006-08-28,60,1265,28,577,3193,0.011711887565879368,0.24692562951395666,0.0054655475307437045,0.11262931875853992,0.6232676166308804,5123,0,0,0,0,0,0,0,0,0,0,0,60,1265,28,577,3193,0.011711887565879368,0.24692562951395666,0.0054655475307437045,0.11262931875853992,0.6232676166308804,5123,77,4852,217,1684,17601,0.0031517334533993696,0.1986001391674512,0.008882157914125496,0.06892881994187712,0.7204371495231469,24431,0,0,0,0,0,0,0,0,0,0,0,77,4852,217,1684,17601,0.0024558961974540544,0.051778478162989645,0.0011460848921452252,0.023617535098849823,0.1306946093078466,24431
2006-09-27,62,1299,28,584,3194,0.011999225856396362,0.25140313528159475,0.005419005225469325,0.11302496613121735,0.6181536675053222,5167,0,0,0,0,0,0,0,0,0,0,0,62,1299,28,584,3194,0.011999225856396362,0.25140313528159475,0.005419005225469325,0.11302496613121735,0.6181536675053222,5167,92,5022,225,1699,17614,0.003731948726269674,0.2037157228622424,0.009127048515333441,0.06891935745578452,0.7145059224403699,24652,0,0,0,0,0,0,0,0,0,0,0,92,5022,225,1699,17614,0.002515008924225215,0.05269349342852507,0.0011358104819081617,0.023689761479798798,0.12956352425766673,24652
2006-10-27,66,1837,37,624,3282,0.01128977078344167,0.3142319534724598,0.006329113924050633,0.10673965104344851,0.5614095107765994,5846,0,0,0,0,0,0,0,0,0,0,0,66,1837,37,624,3282,0.01128977078344167,0.3142319534724598,0.006329113924050633,0.10673965104344851,0.5614095107765994,5846,124,7174,234,1931,18869,0.004376676549484682,0.25321191585486374,0.008259212198221092,0.06815614852463646,0.665996046872794,28332,0,0,0,0,0,0,0,0,0,0,0,124,7174,234,1931,18869,0.002329521389241847,0.06483834533389807,0.0013059438091204292,0.022024565861922914,0.11584074544684456,28332
2006-11-26,74,1850,37,626,3291,0.012589316093909493,0.3147329023477373,0.006294658046954746,0.10649880911874787,0.5598843143926505,5878,0,0,0,0,0,0,0,0,0,0,0,74,1850,37,626,3291,0.012589316093909493,0.3147329023477373,0.006294658046954746,0.10649880911874787,0.5598843143926505,5878,142,7219,237,1935,18875,0.004998591945930724,0.25411855815263307,0.008342720360461842,0.06811461560123909,0.6644255139397353,28408,0,0,0,0,0,0,0,0,0,0,0,142,7219,237,1935,18875,0.0026049000281610814,0.06512250070402703,0.0013024500140805407,0.02203604618417347,0.11584764854970431,28408
2006-12-31,74,1860,38,626,3293,0.012561534544219996,0.31573586827363775,0.006450517738923782,0.10626379222542862,0.5589882872177898,5891,0,0,0,0,0,0,0,0,0,0,0,74,1860,38,626,3293,0.012561534544219996,0.31573586827363775,0.006450517738923782,0.10626379222542862,0.5589882872177898,5891,158,7409,252,1956,18894,0.005511179322613275,0.2584324531724162,0.008789982210750287,0.06822700477868081,0.6590393805155395,28669,0,0,0,0,0,0,0,0,0,0,0,158,7409,252,1956,18894,0.0025811852523631796,0.0648784401269664,0.0013254735079702815,0.021835431999720954,0.1148627437301615,28669
