date, FAO_util, CAO_util, FTC_util, CTF_util, STC_util, pct_FAO_util, pct_CAO_util, pct_FTC_util, pct_CTF_util, pct_STC_util, util_count, FAO_util_vuln, CAO_util_vuln, FTC_util_vuln, CTF_util_vuln, STC_util_vuln, pct_FAO_util_vuln, pct_CAO_util_vuln, pct_FTC_util_vuln, pct_CTF_util_vuln, pct_STC_util_vuln, util_vuln_count, FAO_util_non_vuln, CAO_util_non_vuln, FTC_util_non_vuln, CTF_util_non_vuln, STC_util_non_vuln, pct_FAO_util_non_vuln, pct_CAO_util_non_vuln, pct_FTC_util_non_vuln, pct_CTF_util_non_vuln, pct_STC_util_non_vuln, util_count_non_vuln, FAO_non_util, CAO_non_util, FTC_non_util, CTF_non_util, STC_non_util, pct_FAO_non_util, pct_CAO_non_util, pct_FTC_non_util, pct_CTF_non_util, pct_STC_non_util, non_util_count, FAO_non_util_vuln, CAO_non_util_vuln, FTC_non_util_vuln, CTF_non_util_vuln, STC_non_util_vuln, pct_FAO_non_util_vuln, pct_CAO_non_util_vuln, pct_FTC_non_util_vuln, pct_CTF_non_util_vuln, pct_STC_non_util_vuln, _non_util_vuln_count, FAO_non_util_non_vuln, CAO_non_util_non_vuln, FTC_non_util_non_vuln, CTF_non_util_non_vuln, STC_non_util_non_vuln, pct_FAO_non_util_non_vuln, pct_CAO_non_util_non_vuln, pct_FTC_non_util_non_vuln, pct_CTF_non_util_non_vuln, pct_STC_non_util_non_vuln, _non_util_non_vuln_count
2005-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.2,0.0,0.0,0.0,0.8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0,0.0,0.0,0.0,0.0,5
2005-06-05,22,12,7,1,38,0.275,0.15,0.0875,0.0125,0.475,80,0,0,0,0,0,0,0,0,0,0,0,22,12,7,1,38,0.275,0.15,0.0875,0.0125,0.475,80,198,234,92,49,525,0.18032786885245902,0.21311475409836064,0.08378870673952642,0.044626593806921674,0.4781420765027322,1098,0,0,0,0,0,0,0,0,0,0,0,198,234,92,49,525,0.020036429872495445,0.01092896174863388,0.006375227686703097,0.0009107468123861566,0.03460837887067395,1098
2005-07-05,24,14,7,3,40,0.2727272727272727,0.1590909090909091,0.07954545454545454,0.03409090909090909,0.45454545454545453,88,0,0,0,0,0,0,0,0,0,0,0,24,14,7,3,40,0.2727272727272727,0.1590909090909091,0.07954545454545454,0.03409090909090909,0.45454545454545453,88,209,284,101,68,537,0.1743119266055046,0.23686405337781485,0.08423686405337781,0.0567139282735613,0.44787322768974147,1199,0,0,0,0,0,0,0,0,0,0,0,209,284,101,68,537,0.020016680567139282,0.011676396997497914,0.005838198498748957,0.0025020850708924102,0.03336113427856547,1199
2005-08-04,24,20,6,3,47,0.24,0.2,0.06,0.03,0.47,100,0,0,0,0,0,0,0,0,0,0,0,24,20,6,3,47,0.24,0.2,0.06,0.03,0.47,100,221,353,103,74,582,0.16579144786196548,0.26481620405101275,0.07726931732933233,0.0555138784696174,0.436609152288072,1333,0,0,0,0,0,0,0,0,0,0,0,221,353,103,74,582,0.01800450112528132,0.015003750937734433,0.00450112528132033,0.002250562640660165,0.035258814703675916,1333
2005-09-06,22,32,8,9,46,0.18803418803418803,0.27350427350427353,0.06837606837606838,0.07692307692307693,0.39316239316239315,117,0,0,0,0,0,0,0,0,0,0,0,22,32,8,9,46,0.18803418803418803,0.27350427350427353,0.06837606837606838,0.07692307692307693,0.39316239316239315,117,224,410,113,83,589,0.15785764622973925,0.28893587033121915,0.07963354474982381,0.058491895701198025,0.41508104298801973,1419,0,0,0,0,0,0,0,0,0,0,0,224,410,113,83,589,0.015503875968992248,0.02255109231853418,0.005637773079633545,0.006342494714587738,0.03241719520789288,1419
2005-10-11,23,33,8,9,46,0.19327731092436976,0.2773109243697479,0.06722689075630252,0.07563025210084033,0.3865546218487395,119,0,0,0,0,0,0,0,0,0,0,0,23,33,8,9,46,0.19327731092436976,0.2773109243697479,0.06722689075630252,0.07563025210084033,0.3865546218487395,119,220,423,112,80,560,0.15770609318996415,0.3032258064516129,0.08028673835125448,0.05734767025089606,0.4014336917562724,1395,0,0,0,0,0,0,0,0,0,0,0,220,423,112,80,560,0.016487455197132617,0.023655913978494623,0.005734767025089606,0.0064516129032258064,0.032974910394265235,1395
2005-11-10,19,38,8,9,42,0.16379310344827586,0.3275862068965517,0.06896551724137931,0.07758620689655173,0.3620689655172414,116,0,0,0,0,0,0,0,0,0,0,0,19,38,8,9,42,0.16379310344827586,0.3275862068965517,0.06896551724137931,0.07758620689655173,0.3620689655172414,116,235,201,105,59,279,0.267349260523322,0.22866894197952217,0.11945392491467577,0.0671217292377702,0.3174061433447099,879,0,0,0,0,0,0,0,0,0,0,0,235,201,105,59,279,0.02161547212741752,0.04323094425483504,0.009101251422070534,0.010238907849829351,0.04778156996587031,879
2005-12-15,20,42,8,9,43,0.16393442622950818,0.3442622950819672,0.06557377049180328,0.07377049180327869,0.3524590163934426,122,0,0,0,0,0,0,0,0,0,0,0,20,42,8,9,43,0.16393442622950818,0.3442622950819672,0.06557377049180328,0.07377049180327869,0.3524590163934426,122,236,198,101,60,277,0.2706422018348624,0.22706422018348624,0.1158256880733945,0.06880733944954129,0.3176605504587156,872,0,0,0,0,0,0,0,0,0,0,0,236,198,101,60,277,0.022935779816513763,0.0481651376146789,0.009174311926605505,0.010321100917431193,0.04931192660550459,872
2006-01-16,7,35,6,9,28,0.08235294117647059,0.4117647058823529,0.07058823529411765,0.10588235294117647,0.32941176470588235,85,0,0,0,0,0,0,0,0,0,0,0,7,35,6,9,28,0.08235294117647059,0.4117647058823529,0.07058823529411765,0.10588235294117647,0.32941176470588235,85,151,165,95,48,201,0.2287878787878788,0.25,0.14393939393939395,0.07272727272727272,0.30454545454545456,660,0,0,0,0,0,0,0,0,0,0,0,151,165,95,48,201,0.010606060606060607,0.05303030303030303,0.00909090909090909,0.013636363636363636,0.04242424242424243,660
2006-02-15,7,36,6,9,28,0.08139534883720931,0.4186046511627907,0.06976744186046512,0.10465116279069768,0.32558139534883723,86,0,0,0,0,0,0,0,0,0,0,0,7,36,6,9,28,0.08139534883720931,0.4186046511627907,0.06976744186046512,0.10465116279069768,0.32558139534883723,86,155,160,96,46,193,0.23846153846153847,0.24615384615384617,0.1476923076923077,0.07076923076923076,0.2969230769230769,650,0,0,0,0,0,0,0,0,0,0,0,155,160,96,46,193,0.010769230769230769,0.055384615384615386,0.009230769230769232,0.013846153846153847,0.043076923076923075,650
2006-03-17,7,37,6,9,28,0.08045977011494253,0.42528735632183906,0.06896551724137931,0.10344827586206896,0.3218390804597701,87,0,0,0,0,0,0,0,0,0,0,0,7,37,6,9,28,0.08045977011494253,0.42528735632183906,0.06896551724137931,0.10344827586206896,0.3218390804597701,87,157,166,95,51,195,0.23644578313253012,0.25,0.1430722891566265,0.07680722891566265,0.2936746987951807,664,0,0,0,0,0,0,0,0,0,0,0,157,166,95,51,195,0.010542168674698794,0.05572289156626506,0.009036144578313253,0.01355421686746988,0.04216867469879518,664
2006-04-21,7,37,6,9,27,0.08139534883720931,0.43023255813953487,0.06976744186046512,0.10465116279069768,0.313953488372093,86,0,0,0,0,0,0,0,0,0,0,0,7,37,6,9,27,0.08139534883720931,0.43023255813953487,0.06976744186046512,0.10465116279069768,0.313953488372093,86,149,173,92,52,195,0.2254160363086233,0.2617246596066566,0.13918305597579425,0.07866868381240545,0.2950075642965204,661,0,0,0,0,0,0,0,0,0,0,0,149,173,92,52,195,0.01059001512859304,0.05597579425113464,0.009077155824508321,0.01361573373676248,0.04084720121028744,661
2006-05-23,7,37,6,9,27,0.08139534883720931,0.43023255813953487,0.06976744186046512,0.10465116279069768,0.313953488372093,86,0,0,0,0,0,0,0,0,0,0,0,7,37,6,9,27,0.08139534883720931,0.43023255813953487,0.06976744186046512,0.10465116279069768,0.313953488372093,86,150,173,92,52,199,0.22522522522522523,0.25975975975975973,0.13813813813813813,0.07807807807807808,0.2987987987987988,666,0,0,0,0,0,0,0,0,0,0,0,150,173,92,52,199,0.010510510510510511,0.05555555555555555,0.009009009009009009,0.013513513513513514,0.04054054054054054,666
2006-07-02,5,27,6,7,26,0.07042253521126761,0.38028169014084506,0.08450704225352113,0.09859154929577464,0.36619718309859156,71,0,0,0,0,0,0,0,0,0,0,0,5,27,6,7,26,0.07042253521126761,0.38028169014084506,0.08450704225352113,0.09859154929577464,0.36619718309859156,71,151,171,92,51,201,0.22672672672672672,0.25675675675675674,0.13813813813813813,0.07657657657657657,0.30180180180180183,666,0,0,0,0,0,0,0,0,0,0,0,151,171,92,51,201,0.0075075075075075074,0.04054054054054054,0.009009009009009009,0.010510510510510511,0.03903903903903904,666
2006-08-04,5,27,6,7,26,0.07042253521126761,0.38028169014084506,0.08450704225352113,0.09859154929577464,0.36619718309859156,71,0,0,0,0,0,0,0,0,0,0,0,5,27,6,7,26,0.07042253521126761,0.38028169014084506,0.08450704225352113,0.09859154929577464,0.36619718309859156,71,152,171,92,51,197,0.22926093514328807,0.2579185520361991,0.138763197586727,0.07692307692307693,0.2971342383107089,663,0,0,0,0,0,0,0,0,0,0,0,152,171,92,51,197,0.007541478129713424,0.04072398190045249,0.00904977375565611,0.010558069381598794,0.0392156862745098,663
2006-09-03,5,30,6,9,26,0.06578947368421052,0.39473684210526316,0.07894736842105263,0.11842105263157894,0.34210526315789475,76,0,0,0,0,0,0,0,0,0,0,0,5,30,6,9,26,0.06578947368421052,0.39473684210526316,0.07894736842105263,0.11842105263157894,0.34210526315789475,76,152,168,94,50,199,0.22926093514328807,0.25339366515837103,0.14177978883861236,0.07541478129713423,0.30015082956259426,663,0,0,0,0,0,0,0,0,0,0,0,152,168,94,50,199,0.007541478129713424,0.04524886877828054,0.00904977375565611,0.013574660633484163,0.0392156862745098,663
2006-10-08,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,0,0,0,0,0,0,0,0,0,0,0,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,154,171,96,50,198,0.23019431988041852,0.2556053811659193,0.14349775784753363,0.07473841554559044,0.29596412556053814,669,0,0,0,0,0,0,0,0,0,0,0,154,171,96,50,198,0.01046337817638266,0.04484304932735426,0.008968609865470852,0.013452914798206279,0.03886397608370702,669
2006-11-14,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,0,0,0,0,0,0,0,0,0,0,0,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,154,171,96,50,200,0.22950819672131148,0.2548435171385991,0.14307004470938897,0.07451564828614009,0.29806259314456035,671,0,0,0,0,0,0,0,0,0,0,0,154,171,96,50,200,0.010432190760059613,0.044709388971684055,0.00894187779433681,0.013412816691505217,0.038748137108792845,671
2007-01-02,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,0,0,0,0,0,0,0,0,0,0,0,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,152,166,89,48,200,0.23206106870229007,0.2534351145038168,0.13587786259541984,0.0732824427480916,0.3053435114503817,655,0,0,0,0,0,0,0,0,0,0,0,152,166,89,48,200,0.010687022900763359,0.04580152671755725,0.00916030534351145,0.013740458015267175,0.03969465648854962,655
2007-02-01,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,0,0,0,0,0,0,0,0,0,0,0,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,157,168,89,48,200,0.23716012084592145,0.2537764350453172,0.13444108761329304,0.07250755287009064,0.3021148036253776,662,0,0,0,0,0,0,0,0,0,0,0,157,168,89,48,200,0.010574018126888218,0.045317220543806644,0.00906344410876133,0.013595166163141994,0.03927492447129909,662
2007-03-03,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,0,0,0,0,0,0,0,0,0,0,0,7,30,6,9,26,0.08974358974358974,0.38461538461538464,0.07692307692307693,0.11538461538461539,0.3333333333333333,78,161,167,89,49,201,0.2413793103448276,0.25037481259370314,0.13343328335832083,0.0734632683658171,0.30134932533733133,667,0,0,0,0,0,0,0,0,0,0,0,161,167,89,49,201,0.010494752623688156,0.044977511244377814,0.008995502248875561,0.013493253373313344,0.038980509745127435,667
2007-04-06,7,30,7,9,27,0.0875,0.375,0.0875,0.1125,0.3375,80,0,0,0,0,0,0,0,0,0,0,0,7,30,7,9,27,0.0875,0.375,0.0875,0.1125,0.3375,80,156,141,83,45,197,0.2508038585209003,0.2266881028938907,0.13344051446945338,0.07234726688102894,0.3167202572347267,622,0,0,0,0,0,0,0,0,0,0,0,156,141,83,45,197,0.011254019292604502,0.04823151125401929,0.011254019292604502,0.014469453376205787,0.04340836012861737,622
2007-05-06,7,31,7,9,28,0.08536585365853659,0.3780487804878049,0.08536585365853659,0.10975609756097561,0.34146341463414637,82,0,0,0,0,0,0,0,0,0,0,0,7,31,7,9,28,0.08536585365853659,0.3780487804878049,0.08536585365853659,0.10975609756097561,0.34146341463414637,82,163,145,84,47,205,0.2531055900621118,0.2251552795031056,0.13043478260869565,0.07298136645962733,0.31832298136645965,644,0,0,0,0,0,0,0,0,0,0,0,163,145,84,47,205,0.010869565217391304,0.04813664596273292,0.010869565217391304,0.013975155279503106,0.043478260869565216,644
2007-06-06,9,33,7,9,33,0.0989010989010989,0.3626373626373626,0.07692307692307693,0.0989010989010989,0.3626373626373626,91,0,0,0,0,0,0,0,0,0,0,0,9,33,7,9,33,0.0989010989010989,0.3626373626373626,0.07692307692307693,0.0989010989010989,0.3626373626373626,91,167,148,86,48,216,0.2511278195488722,0.22255639097744362,0.1293233082706767,0.07218045112781955,0.324812030075188,665,0,0,0,0,0,0,0,0,0,0,0,167,148,86,48,216,0.013533834586466165,0.04962406015037594,0.010526315789473684,0.013533834586466165,0.04962406015037594,665
2007-07-08,10,33,7,9,33,0.10869565217391304,0.358695652173913,0.07608695652173914,0.09782608695652174,0.358695652173913,92,0,0,0,0,0,0,0,0,0,0,0,10,33,7,9,33,0.10869565217391304,0.358695652173913,0.07608695652173914,0.09782608695652174,0.358695652173913,92,167,147,86,49,216,0.2511278195488722,0.22105263157894736,0.1293233082706767,0.07368421052631578,0.324812030075188,665,0,0,0,0,0,0,0,0,0,0,0,167,147,86,49,216,0.015037593984962405,0.04962406015037594,0.010526315789473684,0.013533834586466165,0.04962406015037594,665
