date, FAO_util, CAO_util, FTC_util, CTF_util, STC_util, pct_FAO_util, pct_CAO_util, pct_FTC_util, pct_CTF_util, pct_STC_util, util_count, FAO_util_vuln, CAO_util_vuln, FTC_util_vuln, CTF_util_vuln, STC_util_vuln, pct_FAO_util_vuln, pct_CAO_util_vuln, pct_FTC_util_vuln, pct_CTF_util_vuln, pct_STC_util_vuln, util_vuln_count, FAO_util_non_vuln, CAO_util_non_vuln, FTC_util_non_vuln, CTF_util_non_vuln, STC_util_non_vuln, pct_FAO_util_non_vuln, pct_CAO_util_non_vuln, pct_FTC_util_non_vuln, pct_CTF_util_non_vuln, pct_STC_util_non_vuln, util_count_non_vuln, FAO_non_util, CAO_non_util, FTC_non_util, CTF_non_util, STC_non_util, pct_FAO_non_util, pct_CAO_non_util, pct_FTC_non_util, pct_CTF_non_util, pct_STC_non_util, non_util_count, FAO_non_util_vuln, CAO_non_util_vuln, FTC_non_util_vuln, CTF_non_util_vuln, STC_non_util_vuln, pct_FAO_non_util_vuln, pct_CAO_non_util_vuln, pct_FTC_non_util_vuln, pct_CTF_non_util_vuln, pct_STC_non_util_vuln, _non_util_vuln_count, FAO_non_util_non_vuln, CAO_non_util_non_vuln, FTC_non_util_non_vuln, CTF_non_util_non_vuln, STC_non_util_non_vuln, pct_FAO_non_util_non_vuln, pct_CAO_non_util_non_vuln, pct_FTC_non_util_non_vuln, pct_CTF_non_util_non_vuln, pct_STC_non_util_non_vuln, _non_util_non_vuln_count
2005-04-16,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,0,0,0,0,0,0,0,0,0,0,0,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,133615,35209,4741,2887,23063,0.6696990201238002,0.17647294689622334,0.023762624364082902,0.01447008996817282,0.11559531864772073,199515,0,0,0,0,0,0,0,0,0,0,0,133615,35209,4741,2887,23063,0.0014435004886850613,0.000541312683256898,6.0145853695210885e-05,3.508508132220635e-05,0.00025060772373004537,199515
2005-05-16,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,0,0,0,0,0,0,0,0,0,0,0,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,137584,35492,4920,3022,23300,0.6733816893274209,0.1737096095302421,0.024080110416116053,0.014790669446646894,0.114037921279574,204318,0,0,0,0,0,0,0,0,0,0,0,137584,35492,4920,3022,23300,0.0014095674389921593,0.0005285877896220598,5.87319766246733e-05,3.426031969772609e-05,0.0002447165692694721,204318
2005-06-15,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,0,0,0,0,0,0,0,0,0,0,0,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,139012,35439,4949,3031,23375,0.6754516389220917,0.17219614588495963,0.024046917971293352,0.0147274617843989,0.11357783543725644,205806,0,0,0,0,0,0,0,0,0,0,0,139012,35439,4949,3031,23375,0.0013993761114836302,0.0005247660418063613,5.830733797848459e-05,3.401261382078268e-05,0.00024294724157701913,205806
2005-07-15,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,0,0,0,0,0,0,0,0,0,0,0,288,108,12,7,50,0.6193548387096774,0.23225806451612904,0.025806451612903226,0.015053763440860216,0.10752688172043011,465,153952,37014,5605,3299,24410,0.6864276796861066,0.16503477795612628,0.02499108257535224,0.014709291956482969,0.10883716782593188,224280,0,0,0,0,0,0,0,0,0,0,0,153952,37014,5605,3299,24410,0.0012841091492776886,0.0004815409309791332,5.3504547886570356e-05,3.121098626716604e-05,0.00022293561619404317,224280
2005-08-14,302,114,12,7,50,0.622680412371134,0.23505154639175257,0.024742268041237112,0.01443298969072165,0.10309278350515463,485,0,0,0,0,0,0,0,0,0,0,0,302,114,12,7,50,0.622680412371134,0.23505154639175257,0.024742268041237112,0.01443298969072165,0.10309278350515463,485,156836,37124,5732,3333,24662,0.6888228137750508,0.1630483953848924,0.025174911171915833,0.014638516911373948,0.10831536275676697,227687,0,0,0,0,0,0,0,0,0,0,0,156836,37124,5732,3333,24662,0.0013263822703975193,0.0005006873471036994,5.270393127407362e-05,3.074395990987628e-05,0.0002195997136419734,227687
2005-09-13,391,113,15,9,53,0.6729776247848537,0.1944922547332186,0.025817555938037865,0.01549053356282272,0.09122203098106713,581,0,0,0,0,0,0,0,0,0,0,0,391,113,15,9,53,0.6729776247848537,0.1944922547332186,0.025817555938037865,0.01549053356282272,0.09122203098106713,581,168343,37083,6160,3467,25457,0.6999417903621471,0.1541848571784957,0.025612240655274208,0.014415201031142156,0.10584591077294084,240510,0,0,0,0,0,0,0,0,0,0,0,168343,37083,6160,3467,25457,0.0016257120286058792,0.0004698349340983743,6.236746912810279e-05,3.742048147686167e-05,0.00022036505758596316,240510
2005-10-13,391,113,15,9,53,0.6729776247848537,0.1944922547332186,0.025817555938037865,0.01549053356282272,0.09122203098106713,581,0,0,0,0,0,0,0,0,0,0,0,391,113,15,9,53,0.6729776247848537,0.1944922547332186,0.025817555938037865,0.01549053356282272,0.09122203098106713,581,170425,37097,6229,3470,25562,0.7019643055732897,0.15279900157754045,0.025656656355675645,0.014292598740438993,0.1052874377530552,242783,0,0,0,0,0,0,0,0,0,0,0,170425,37097,6229,3470,25562,0.0016104916736344801,0.0004654362125849009,6.178356804224348e-05,3.707014082534609e-05,0.00021830194041592697,242783
2005-11-12,416,115,17,9,54,0.6808510638297872,0.18821603927986907,0.027823240589198037,0.014729950900163666,0.088379705400982,611,0,0,0,0,0,0,0,0,0,0,0,416,115,17,9,54,0.6808510638297872,0.18821603927986907,0.027823240589198037,0.014729950900163666,0.088379705400982,611,186231,40164,6810,3692,26778,0.7062899402673746,0.15232388356878734,0.025827249454821278,0.014002085901204133,0.10155684080781265,263675,0,0,0,0,0,0,0,0,0,0,0,186231,40164,6810,3692,26778,0.001577699819853987,0.00043614297904617425,6.44733099459562e-05,3.413292879491799e-05,0.00020479757276950793,263675
2005-12-12,416,115,17,9,54,0.6808510638297872,0.18821603927986907,0.027823240589198037,0.014729950900163666,0.088379705400982,611,0,0,0,0,0,0,0,0,0,0,0,416,115,17,9,54,0.6808510638297872,0.18821603927986907,0.027823240589198037,0.014729950900163666,0.088379705400982,611,188177,40640,6867,3717,26852,0.7067601116231554,0.15263677780156468,0.02579125869004293,0.013960406079931494,0.10085144580530549,266253,0,0,0,0,0,0,0,0,0,0,0,188177,40640,6867,3717,26852,0.001562423709779796,0.0004319200159247032,6.384904583234743e-05,3.380243602888981e-05,0.0002028146161733389,266253
2006-01-11,510,578,18,17,61,0.43074324324324326,0.48817567567567566,0.015202702702702704,0.014358108108108109,0.05152027027027027,1184,0,0,0,0,0,0,0,0,0,0,0,510,578,18,17,61,0.43074324324324326,0.48817567567567566,0.015202702702702704,0.014358108108108109,0.05152027027027027,1184,202476,42133,7512,3901,28379,0.7119384249703763,0.14814645518124056,0.026413409235551213,0.013716548113403258,0.09978516249942862,284401,0,0,0,0,0,0,0,0,0,0,0,202476,42133,7512,3901,28379,0.0017932426397938123,0.0020323416584329874,6.329091669860514e-05,5.977475465979374e-05,0.0002144858843674952,284401
