date, util_total, util_vuln_total, util_non_vuln_total, non_util_total, non_util_vuln_total, non_util_non_vuln_total,     util_total_calls, util_vuln_total_calls, util_non_vuln_total_calls, non_util_total_calls, non_util_vuln_total_calls, non_util_non_vuln_total_calls,     util_total_callers, util_vuln_total_callers, util_non_vuln_total_callers, non_util_total_callers, non_util_vuln_total_callers, non_util_non_vuln_total_callers,     average_callers_util, average_calls_util, average_callers_util_vuln, average_calls_util_vuln, average_callers_util_non_vuln, average_calls_util_non_vuln,     average_callers_non_util, average_calls_non_util, average_callers_non_util_vuln, average_calls_non_util_vuln, average_callers_non_util_non_vuln, average_calls_non_util_non_vuln
2006-03-27, 178, 0, 178, 812, 0, 812, 47135, 0, 47135, 306797, 0, 306797, 113568, 0, 113568, 240364, 0, 240364, 638.0224719101124, 264.80337078651684, 0, 0, 638.0224719101124, 264.80337078651684, 296.01477832512313, 377.82881773399015, 0, 0, 296.01477832512313, 377.82881773399015
2006-04-26, 199, 0, 199, 871, 0, 871, 57917, 0, 57917, 315236, 0, 315236, 125745, 0, 125745, 247408, 0, 247408, 631.8844221105528, 291.04020100502515, 0, 0, 631.8844221105528, 291.04020100502515, 284.0505166475316, 361.92422502870266, 0, 0, 284.0505166475316, 361.92422502870266
2006-05-26, 200, 0, 200, 872, 0, 872, 59002, 0, 59002, 321151, 0, 321151, 127430, 0, 127430, 252723, 0, 252723, 637.15, 295.01, 0, 0, 637.15, 295.01, 289.8199541284404, 368.29243119266056, 0, 0, 289.8199541284404, 368.29243119266056
2006-06-26, 208, 0, 208, 1042, 0, 1042, 61669, 0, 61669, 390847, 0, 390847, 148520, 0, 148520, 303996, 0, 303996, 714.0384615384615, 296.4855769230769, 0, 0, 714.0384615384615, 296.4855769230769, 291.742802303263, 375.09309021113245, 0, 0, 291.742802303263, 375.09309021113245
2006-07-27, 205, 0, 205, 1169, 0, 1169, 103902, 0, 103902, 613310, 0, 613310, 207756, 0, 207756, 509456, 0, 509456, 1013.4439024390244, 506.8390243902439, 0, 0, 1013.4439024390244, 506.8390243902439, 435.8049615055603, 524.64499572284, 0, 0, 435.8049615055603, 524.64499572284
2006-08-28, 216, 0, 216, 1304, 0, 1304, 122549, 0, 122549, 754754, 0, 754754, 242941, 0, 242941, 634362, 0, 634362, 1124.726851851852, 567.3564814814815, 0, 0, 1124.726851851852, 567.3564814814815, 486.4739263803681, 578.7990797546013, 0, 0, 486.4739263803681, 578.7990797546013
2006-09-27, 218, 0, 218, 1316, 0, 1316, 122651, 0, 122651, 759501, 0, 759501, 244486, 0, 244486, 637666, 0, 637666, 1121.4954128440368, 562.6192660550458, 0, 0, 1121.4954128440368, 562.6192660550458, 484.548632218845, 577.1284194528876, 0, 0, 484.548632218845, 577.1284194528876
2006-10-27, 220, 0, 220, 1339, 0, 1339, 125872, 0, 125872, 774318, 0, 774318, 248418, 0, 248418, 651772, 0, 651772, 1129.1727272727273, 572.1454545454545, 0, 0, 1129.1727272727273, 572.1454545454545, 486.7602688573562, 578.2808065720687, 0, 0, 486.7602688573562, 578.2808065720687
2006-11-26, 220, 0, 220, 1340, 0, 1340, 125887, 0, 125887, 777112, 0, 777112, 249157, 0, 249157, 653842, 0, 653842, 1132.5318181818182, 572.2136363636364, 0, 0, 1132.5318181818182, 572.2136363636364, 487.9417910447761, 579.934328358209, 0, 0, 487.9417910447761, 579.934328358209
2006-12-31, 220, 0, 220, 1347, 0, 1347, 126239, 0, 126239, 782204, 0, 782204, 249783, 0, 249783, 658660, 0, 658660, 1135.3772727272728, 573.8136363636364, 0, 0, 1135.3772727272728, 573.8136363636364, 488.98292501855974, 580.7008166295471, 0, 0, 488.98292501855974, 580.7008166295471
