date, util_total, util_vuln_total, util_non_vuln_total, non_util_total, non_util_vuln_total, non_util_non_vuln_total,     util_total_calls, util_vuln_total_calls, util_non_vuln_total_calls, non_util_total_calls, non_util_vuln_total_calls, non_util_non_vuln_total_calls,     util_total_callers, util_vuln_total_callers, util_non_vuln_total_callers, non_util_total_callers, non_util_vuln_total_callers, non_util_non_vuln_total_callers,     average_callers_util, average_calls_util, average_callers_util_vuln, average_calls_util_vuln, average_callers_util_non_vuln, average_calls_util_non_vuln,     average_callers_non_util, average_calls_non_util, average_callers_non_util_vuln, average_calls_non_util_vuln, average_callers_non_util_non_vuln, average_calls_non_util_non_vuln
2000-12-19, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0
2001-07-19, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0
2001-08-20, 5, 0, 5, 73, 0, 73, 156, 0, 156, 2909, 0, 2909, 321, 0, 321, 2744, 0, 2744, 64.2, 31.2, 0, 0, 64.2, 31.2, 37.58904109589041, 39.84931506849315, 0, 0, 37.58904109589041, 39.84931506849315
2001-09-19, 6, 0, 6, 73, 0, 73, 170, 0, 170, 3016, 0, 3016, 346, 0, 346, 2840, 0, 2840, 57.666666666666664, 28.333333333333332, 0, 0, 57.666666666666664, 28.333333333333332, 38.9041095890411, 41.31506849315068, 0, 0, 38.9041095890411, 41.31506849315068
2001-10-19, 6, 0, 6, 78, 0, 78, 179, 0, 179, 3238, 0, 3238, 356, 0, 356, 3061, 0, 3061, 59.333333333333336, 29.833333333333332, 0, 0, 59.333333333333336, 29.833333333333332, 39.243589743589745, 41.51282051282051, 0, 0, 39.243589743589745, 41.51282051282051
2001-11-19, 6, 0, 6, 84, 0, 84, 179, 0, 179, 3462, 0, 3462, 356, 0, 356, 3285, 0, 3285, 59.333333333333336, 29.833333333333332, 0, 0, 59.333333333333336, 29.833333333333332, 39.107142857142854, 41.214285714285715, 0, 0, 39.107142857142854, 41.214285714285715
2001-12-20, 6, 0, 6, 86, 0, 86, 182, 0, 182, 4774, 0, 4774, 363, 0, 363, 4593, 0, 4593, 60.5, 30.333333333333332, 0, 0, 60.5, 30.333333333333332, 53.406976744186046, 55.51162790697674, 0, 0, 53.406976744186046, 55.51162790697674
2002-01-19, 6, 0, 6, 86, 0, 86, 185, 0, 185, 4713, 0, 4713, 365, 0, 365, 4533, 0, 4533, 60.833333333333336, 30.833333333333332, 0, 0, 60.833333333333336, 30.833333333333332, 52.7093023255814, 54.80232558139535, 0, 0, 52.7093023255814, 54.80232558139535
2002-02-18, 7, 0, 7, 88, 0, 88, 273, 0, 273, 5652, 0, 5652, 457, 0, 457, 5468, 0, 5468, 65.28571428571429, 39.0, 0, 0, 65.28571428571429, 39.0, 62.13636363636363, 64.22727272727273, 0, 0, 62.13636363636363, 64.22727272727273
2002-03-20, 7, 0, 7, 89, 0, 89, 327, 0, 327, 5772, 0, 5772, 515, 0, 515, 5584, 0, 5584, 73.57142857142857, 46.714285714285715, 0, 0, 73.57142857142857, 46.714285714285715, 62.741573033707866, 64.85393258426966, 0, 0, 62.741573033707866, 64.85393258426966
2002-04-19, 7, 0, 7, 92, 0, 92, 373, 0, 373, 6401, 0, 6401, 578, 0, 578, 6196, 0, 6196, 82.57142857142857, 53.285714285714285, 0, 0, 82.57142857142857, 53.285714285714285, 67.34782608695652, 69.57608695652173, 0, 0, 67.34782608695652, 69.57608695652173
2002-05-19, 7, 0, 7, 96, 0, 96, 386, 0, 386, 6750, 0, 6750, 772, 0, 772, 6364, 0, 6364, 110.28571428571429, 55.142857142857146, 0, 0, 110.28571428571429, 55.142857142857146, 66.29166666666667, 70.3125, 0, 0, 66.29166666666667, 70.3125
2002-06-18, 7, 0, 7, 99, 0, 99, 349, 0, 349, 6872, 0, 6872, 625, 0, 625, 6596, 0, 6596, 89.28571428571429, 49.857142857142854, 0, 0, 89.28571428571429, 49.857142857142854, 66.62626262626263, 69.41414141414141, 0, 0, 66.62626262626263, 69.41414141414141
2002-07-18, 8, 0, 8, 104, 0, 104, 311, 0, 311, 7916, 0, 7916, 618, 0, 618, 7609, 0, 7609, 77.25, 38.875, 0, 0, 77.25, 38.875, 73.16346153846153, 76.11538461538461, 0, 0, 73.16346153846153, 76.11538461538461
2002-08-17, 9, 0, 9, 108, 0, 108, 403, 0, 403, 8424, 0, 8424, 688, 0, 688, 8139, 0, 8139, 76.44444444444444, 44.77777777777778, 0, 0, 76.44444444444444, 44.77777777777778, 75.36111111111111, 78.0, 0, 0, 75.36111111111111, 78.0
2002-09-16, 11, 0, 11, 112, 0, 112, 399, 0, 399, 8707, 0, 8707, 682, 0, 682, 8424, 0, 8424, 62.0, 36.27272727272727, 0, 0, 62.0, 36.27272727272727, 75.21428571428571, 77.74107142857143, 0, 0, 75.21428571428571, 77.74107142857143
2002-10-16, 12, 0, 12, 119, 0, 119, 402, 0, 402, 8952, 0, 8952, 702, 0, 702, 8652, 0, 8652, 58.5, 33.5, 0, 0, 58.5, 33.5, 72.70588235294117, 75.22689075630252, 0, 0, 72.70588235294117, 75.22689075630252
2002-11-15, 12, 0, 12, 134, 0, 134, 369, 0, 369, 9325, 0, 9325, 745, 0, 745, 8949, 0, 8949, 62.083333333333336, 30.75, 0, 0, 62.083333333333336, 30.75, 66.78358208955224, 69.58955223880596, 0, 0, 66.78358208955224, 69.58955223880596
2002-12-15, 12, 0, 12, 141, 0, 141, 390, 0, 390, 9577, 0, 9577, 807, 0, 807, 9160, 0, 9160, 67.25, 32.5, 0, 0, 67.25, 32.5, 64.9645390070922, 67.92198581560284, 0, 0, 64.9645390070922, 67.92198581560284
2003-01-14, 12, 0, 12, 151, 0, 151, 469, 0, 469, 10264, 0, 10264, 871, 0, 871, 9862, 0, 9862, 72.58333333333333, 39.083333333333336, 0, 0, 72.58333333333333, 39.083333333333336, 65.3112582781457, 67.97350993377484, 0, 0, 65.3112582781457, 67.97350993377484
2003-02-13, 12, 0, 12, 157, 0, 157, 499, 0, 499, 10880, 0, 10880, 903, 0, 903, 10476, 0, 10476, 75.25, 41.583333333333336, 0, 0, 75.25, 41.583333333333336, 66.72611464968153, 69.29936305732484, 0, 0, 66.72611464968153, 69.29936305732484
2003-03-15, 12, 0, 12, 158, 0, 158, 514, 0, 514, 10841, 0, 10841, 930, 0, 930, 10425, 0, 10425, 77.5, 42.833333333333336, 0, 0, 77.5, 42.833333333333336, 65.98101265822785, 68.61392405063292, 0, 0, 65.98101265822785, 68.61392405063292
2003-04-14, 12, 0, 12, 161, 0, 161, 515, 0, 515, 11310, 0, 11310, 941, 0, 941, 10884, 0, 10884, 78.41666666666667, 42.916666666666664, 0, 0, 78.41666666666667, 42.916666666666664, 67.6024844720497, 70.24844720496894, 0, 0, 67.6024844720497, 70.24844720496894
2003-05-14, 14, 0, 14, 173, 0, 173, 579, 0, 579, 11934, 0, 11934, 1027, 0, 1027, 11486, 0, 11486, 73.35714285714286, 41.357142857142854, 0, 0, 73.35714285714286, 41.357142857142854, 66.39306358381504, 68.98265895953757, 0, 0, 66.39306358381504, 68.98265895953757
2003-06-13, 15, 0, 15, 179, 0, 179, 612, 0, 612, 12763, 0, 12763, 1122, 0, 1122, 12253, 0, 12253, 74.8, 40.8, 0, 0, 74.8, 40.8, 68.45251396648045, 71.30167597765363, 0, 0, 68.45251396648045, 71.30167597765363
2003-07-13, 15, 0, 15, 183, 0, 183, 630, 0, 630, 12780, 0, 12780, 1155, 0, 1155, 12255, 0, 12255, 77.0, 42.0, 0, 0, 77.0, 42.0, 66.9672131147541, 69.8360655737705, 0, 0, 66.9672131147541, 69.8360655737705
2003-08-12, 15, 0, 15, 187, 0, 187, 654, 0, 654, 13187, 0, 13187, 1214, 0, 1214, 12627, 0, 12627, 80.93333333333334, 43.6, 0, 0, 80.93333333333334, 43.6, 67.524064171123, 70.5187165775401, 0, 0, 67.524064171123, 70.5187165775401
2003-09-11, 15, 0, 15, 203, 0, 203, 663, 0, 663, 14331, 0, 14331, 1266, 0, 1266, 13728, 0, 13728, 84.4, 44.2, 0, 0, 84.4, 44.2, 67.6256157635468, 70.5960591133005, 0, 0, 67.6256157635468, 70.5960591133005
2003-10-11, 15, 0, 15, 212, 0, 212, 666, 0, 666, 14863, 0, 14863, 1322, 0, 1322, 14207, 0, 14207, 88.13333333333334, 44.4, 0, 0, 88.13333333333334, 44.4, 67.01415094339623, 70.10849056603773, 0, 0, 67.01415094339623, 70.10849056603773
2003-11-10, 15, 0, 15, 219, 0, 219, 738, 0, 738, 15760, 0, 15760, 1871, 0, 1871, 14627, 0, 14627, 124.73333333333333, 49.2, 0, 0, 124.73333333333333, 49.2, 66.78995433789954, 71.96347031963471, 0, 0, 66.78995433789954, 71.96347031963471
2003-12-10, 15, 0, 15, 222, 0, 222, 749, 0, 749, 15960, 0, 15960, 1910, 0, 1910, 14799, 0, 14799, 127.33333333333333, 49.93333333333333, 0, 0, 127.33333333333333, 49.93333333333333, 66.66216216216216, 71.89189189189189, 0, 0, 66.66216216216216, 71.89189189189189
2004-01-09, 15, 0, 15, 224, 0, 224, 753, 0, 753, 16192, 0, 16192, 1942, 0, 1942, 15003, 0, 15003, 129.46666666666667, 50.2, 0, 0, 129.46666666666667, 50.2, 66.97767857142857, 72.28571428571429, 0, 0, 66.97767857142857, 72.28571428571429
2004-02-08, 15, 0, 15, 227, 0, 227, 760, 0, 760, 16679, 0, 16679, 2031, 0, 2031, 15408, 0, 15408, 135.4, 50.666666666666664, 0, 0, 135.4, 50.666666666666664, 67.87665198237886, 73.47577092511013, 0, 0, 67.87665198237886, 73.47577092511013
2004-03-09, 15, 0, 15, 233, 0, 233, 796, 0, 796, 17202, 0, 17202, 2360, 0, 2360, 15638, 0, 15638, 157.33333333333334, 53.06666666666667, 0, 0, 157.33333333333334, 53.06666666666667, 67.11587982832619, 73.8283261802575, 0, 0, 67.11587982832619, 73.8283261802575
2004-04-08, 15, 0, 15, 237, 0, 237, 795, 0, 795, 17906, 0, 17906, 2537, 0, 2537, 16164, 0, 16164, 169.13333333333333, 53.0, 0, 0, 169.13333333333333, 53.0, 68.20253164556962, 75.55274261603375, 0, 0, 68.20253164556962, 75.55274261603375
2004-05-08, 16, 0, 16, 239, 0, 239, 865, 0, 865, 17295, 0, 17295, 2647, 0, 2647, 15513, 0, 15513, 165.4375, 54.0625, 0, 0, 165.4375, 54.0625, 64.90794979079497, 72.36401673640168, 0, 0, 64.90794979079497, 72.36401673640168
2004-06-07, 16, 0, 16, 241, 0, 241, 912, 0, 912, 17809, 0, 17809, 2703, 0, 2703, 16018, 0, 16018, 168.9375, 57.0, 0, 0, 168.9375, 57.0, 66.46473029045643, 73.89626556016597, 0, 0, 66.46473029045643, 73.89626556016597
2004-07-07, 16, 0, 16, 243, 0, 243, 926, 0, 926, 17980, 0, 17980, 2821, 0, 2821, 16085, 0, 16085, 176.3125, 57.875, 0, 0, 176.3125, 57.875, 66.19341563786008, 73.9917695473251, 0, 0, 66.19341563786008, 73.9917695473251
2004-08-10, 16, 0, 16, 247, 0, 247, 926, 0, 926, 18601, 0, 18601, 2889, 0, 2889, 16638, 0, 16638, 180.5625, 57.875, 0, 0, 180.5625, 57.875, 67.36032388663968, 75.3076923076923, 0, 0, 67.36032388663968, 75.3076923076923
2004-09-10, 16, 0, 16, 249, 0, 249, 939, 0, 939, 18963, 0, 18963, 2944, 0, 2944, 16958, 0, 16958, 184.0, 58.6875, 0, 0, 184.0, 58.6875, 68.10441767068274, 76.1566265060241, 0, 0, 68.10441767068274, 76.1566265060241
2004-10-10, 18, 0, 18, 252, 0, 252, 999, 0, 999, 19171, 0, 19171, 3048, 0, 3048, 17122, 0, 17122, 169.33333333333334, 55.5, 0, 0, 169.33333333333334, 55.5, 67.94444444444444, 76.07539682539682, 0, 0, 67.94444444444444, 76.07539682539682
2004-11-09, 18, 0, 18, 258, 0, 258, 1007, 0, 1007, 19598, 0, 19598, 3106, 0, 3106, 17499, 0, 17499, 172.55555555555554, 55.94444444444444, 0, 0, 172.55555555555554, 55.94444444444444, 67.82558139534883, 75.96124031007751, 0, 0, 67.82558139534883, 75.96124031007751
2004-12-09, 18, 0, 18, 262, 0, 262, 1021, 0, 1021, 19955, 0, 19955, 3172, 0, 3172, 17804, 0, 17804, 176.22222222222223, 56.72222222222222, 0, 0, 176.22222222222223, 56.72222222222222, 67.95419847328245, 76.16412213740458, 0, 0, 67.95419847328245, 76.16412213740458
2005-01-08, 18, 0, 18, 262, 0, 262, 1019, 0, 1019, 19648, 0, 19648, 3230, 0, 3230, 17437, 0, 17437, 179.44444444444446, 56.611111111111114, 0, 0, 179.44444444444446, 56.611111111111114, 66.55343511450381, 74.99236641221374, 0, 0, 66.55343511450381, 74.99236641221374
2005-02-07, 18, 0, 18, 263, 0, 263, 1025, 0, 1025, 20074, 0, 20074, 3380, 0, 3380, 17719, 0, 17719, 187.77777777777777, 56.94444444444444, 0, 0, 187.77777777777777, 56.94444444444444, 67.37262357414448, 76.32699619771863, 0, 0, 67.37262357414448, 76.32699619771863
