Snapshot_Date,Util_Lines,Util_Complexity,Util_Normalized,Non_Util_Lines,Non_Util_Complexity,Non_Util_Normalized,Util_Lines_No_Tests,Util_Complexity_No_Tests,Util_Normalized_No_Tests,Non_Util_Lines_No_Tests,Non_Util_Complexity_No_Tests,Non_Util_Normalized_No_Tests,Util_Lines_Vuln,Util_Complexity_Vuln,Util_Normalized_Vuln,Non_Util_Lines_Vuln,Non_Util_Complexity_Vuln,Non_Util_Normalized_Vuln,Util_Lines_No_Tests_Vuln,Util_Complexity_No_Tests_Vuln,Util_Normalized_No_Tests_Vuln,Non_Util_Lines_No_Tests_Vuln,Non_Util_Complexity_No_Tests_Vuln,Non_Util_Normalized_No_Tests_Vuln,Util_Lines_Non_Vuln,Util_Complexity_Non_Vuln,Util_Normalized_Non_Vuln,Non_Util_Lines_Non_Vuln,Non_Util_Complexity_Non_Vuln,Non_Util_Normalized_Non_Vuln,Util_Lines_No_Tests_Non_Vuln,Util_Complexity_No_Tests_Non_Vuln,Util_Normalized_No_Tests_Non_Vuln,Non_Util_Lines_No_Tests_Non_Vuln,Non_Util_Complexity_No_Tests_Non_Vuln,Non_Util_Normalized_No_Tests_Non_Vuln
2000-12-19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2001-07-19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2001-08-20,3000,225,0.075,34704,4308,0.12413554633471646,3000,225,0.075,34272,4236,0.12359943977591037,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3000,225,0.075,34704,4308,0.12413554633471646,3000,225,0.075,34272,4236,0.12359943977591037
2001-09-19,3204,278,0.0867665418227216,37630,4711,0.12519266542652138,3204,278,0.0867665418227216,37198,4639,0.1247110059680628,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3204,278,0.0867665418227216,37630,4711,0.12519266542652138,3204,278,0.0867665418227216,37198,4639,0.1247110059680628
2001-10-19,3238,283,0.08739962940086474,45154,5040,0.11161801833724587,3238,283,0.08739962940086474,44722,4968,0.11108626626716157,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3238,283,0.08739962940086474,45154,5040,0.11161801833724587,3238,283,0.08739962940086474,44722,4968,0.11108626626716157
2001-11-19,3233,283,0.087534797401794,53954,5606,0.1039033250546762,3233,283,0.087534797401794,53522,5534,0.1033967340532865,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3233,283,0.087534797401794,53954,5606,0.1039033250546762,3233,283,0.087534797401794,53522,5534,0.1033967340532865
2001-12-20,3292,288,0.08748481166464156,50076,5544,0.11071171818835371,3292,288,0.08748481166464156,49644,5472,0.11022480058013052,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3292,288,0.08748481166464156,50076,5544,0.11071171818835371,3292,288,0.08748481166464156,49644,5472,0.11022480058013052
2002-01-19,3317,298,0.0898402170636117,50754,5638,0.11108484060369626,3317,298,0.0898402170636117,50322,5566,0.11060768649894678,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3317,298,0.0898402170636117,50754,5638,0.11108484060369626,3317,298,0.0898402170636117,50322,5566,0.11060768649894678
2002-02-18,3688,305,0.08270065075921909,54232,6044,0.11144711609381915,3688,305,0.08270065075921909,53800,5972,0.11100371747211896,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3688,305,0.08270065075921909,54232,6044,0.11144711609381915,3688,305,0.08270065075921909,53800,5972,0.11100371747211896
2002-03-20,4048,318,0.07855731225296443,56031,6382,0.11390123324588175,4048,318,0.07855731225296443,55599,6310,0.11349124984262307,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4048,318,0.07855731225296443,56031,6382,0.11390123324588175,4048,318,0.07855731225296443,55599,6310,0.11349124984262307
