Snapshot_Date,Util_Lines,Util_Complexity,Util_Normalized,Non_Util_Lines,Non_Util_Complexity,Non_Util_Normalized,Util_Lines_No_Tests,Util_Complexity_No_Tests,Util_Normalized_No_Tests,Non_Util_Lines_No_Tests,Non_Util_Complexity_No_Tests,Non_Util_Normalized_No_Tests,Util_Lines_Vuln,Util_Complexity_Vuln,Util_Normalized_Vuln,Non_Util_Lines_Vuln,Non_Util_Complexity_Vuln,Non_Util_Normalized_Vuln,Util_Lines_No_Tests_Vuln,Util_Complexity_No_Tests_Vuln,Util_Normalized_No_Tests_Vuln,Non_Util_Lines_No_Tests_Vuln,Non_Util_Complexity_No_Tests_Vuln,Non_Util_Normalized_No_Tests_Vuln,Util_Lines_Non_Vuln,Util_Complexity_Non_Vuln,Util_Normalized_Non_Vuln,Non_Util_Lines_Non_Vuln,Non_Util_Complexity_Non_Vuln,Non_Util_Normalized_Non_Vuln,Util_Lines_No_Tests_Non_Vuln,Util_Complexity_No_Tests_Non_Vuln,Util_Normalized_No_Tests_Non_Vuln,Non_Util_Lines_No_Tests_Non_Vuln,Non_Util_Complexity_No_Tests_Non_Vuln,Non_Util_Normalized_No_Tests_Non_Vuln
1996-07-03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
1996-11-18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
1996-12-20,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-01-20,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-02-19,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-03-25,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-04-24,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-05-28,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-06-28,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-07-30,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-09-07,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-10-10,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-11-09,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1997-12-14,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1998-01-20,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1998-02-20,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1998-03-24,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,100,2,0.02,0,0,0.0,100,2,0.02
1998-04-25,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-05-25,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-06-24,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-07-25,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-08-24,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-09-24,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-10-29,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1998-12-02,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1999-01-01,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,104,2,0.019230769230769232,0,0,0.0,104,2,0.019230769230769232
1999-02-04,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,326,101,0.3098159509202454
1999-03-07,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,326,101,0.3098159509202454,0,0,0.0,326,101,0.3098159509202454
1999-04-08,0,0,0.0,335,103,0.3074626865671642,0,0,0.0,335,103,0.3074626865671642,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,335,103,0.3074626865671642,0,0,0.0,335,103,0.3074626865671642
1999-05-13,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,398,176,0.44221105527638194
1999-06-13,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,398,176,0.44221105527638194,0,0,0.0,398,176,0.44221105527638194
1999-07-13,0,0,0.0,19530,2648,0.1355862775217614,0,0,0.0,19530,2648,0.1355862775217614,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,19530,2648,0.1355862775217614,0,0,0.0,19530,2648,0.1355862775217614
1999-08-12,0,0,0.0,24060,3128,0.13000831255195344,0,0,0.0,24060,3128,0.13000831255195344,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24060,3128,0.13000831255195344,0,0,0.0,24060,3128,0.13000831255195344
